Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO (335517);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,59;1,19;1,19;0,59;0,58;0,57;0,57;0;201801;26/02/2018 11:03
UNIMED ITABUNA COOPERATIVA DE TRABALHO MEDICO (357065);Médico Hospitalar;Médio;80;88;1,88;1,88;1,13;0,75;0,75;1,12;2,24;2,61;3,74;2,99;2,99;1,87;201801;26/02/2018 11:03
UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO (322831);Médico Hospitalar;Médio;173;218;0,54;0;0,27;0,55;0,83;1,11;1,12;0,84;0,28;0;0;0;201801;26/02/2018 11:03
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA. (356581);Médico Hospitalar;Médio;181;179;0,49;0,5;0,48;0;1,81;1,82;1,82;0,46;0,46;0,46;0;0,46;201801;26/02/2018 11:03
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA. (301060);Médico Hospitalar;Pequeno;149;160;1,06;1,04;0,51;0;0;0;0;0;1,59;1,61;1,63;0;201801;26/02/2018 11:03
UNIMED JI PARANÁ COOPERATIVA DE TRABALHO MÉDICO (347507);Médico Hospitalar;Médio;75;65;2,07;2,75;2,52;2,74;1,82;2,04;1,58;1,34;0,89;1,32;2,6;2,57;201801;26/02/2018 11:03
UNIMED JOAÇABA COOPERATIVA DE TRABALHO MÉDICO (301744);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,63;0,63;0,63;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA. (352314);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;1,08;1,08;1,08;0;0;201801;26/02/2018 11:03
UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO (321044);Médico Hospitalar;Grande;43;40;2,16;2,58;2,8;3,15;2,87;3,01;2,85;2,92;2,98;2,76;2,61;2,25;201801;26/02/2018 11:03
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA (306886);Médico Hospitalar;Grande;51;50;1,55;1,72;2,23;2,48;2,38;1,53;1,28;1,37;1,96;1,71;1,38;0,78;201801;26/02/2018 11:03
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO (303267);Médico Hospitalar;Médio;159;141;0,71;1,02;0,93;0,94;0,84;0,84;1,05;1,25;1,34;1,12;1,11;1,11;201801;26/02/2018 11:03
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO (345458);Médico Hospitalar;Médio;189;183;0,44;0,45;0;0,45;0,45;0,46;0;0,46;0,46;0,46;0,46;0,46;201801;26/02/2018 11:03
UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA (386901);Médico Hospitalar;Pequeno;121;126;1,53;1,53;0;0;1,52;1,52;3,05;3,05;3,05;1,52;0;0;201801;26/02/2018 11:03
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (358088);Médico Hospitalar;Médio;188;182;0,45;0,45;0,23;0;0,23;0,46;0,46;0,23;0,46;0,69;0,69;0,46;201801;26/02/2018 11:03
UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA (303356);Médico Hospitalar;Médio;79;87;1,89;1,89;1,42;1,26;1,74;1,74;1,74;1,89;2,2;2,36;1,89;2,05;201801;26/02/2018 11:03
UNIMED LITORAL SUL/RS - COOPERATIVA MÉDICA LTDA. (300136);Médico Hospitalar;Médio;121;105;1,24;1,54;0,91;0,91;0,93;0,63;0,97;0,65;0,98;0,61;1,15;0,8;201801;26/02/2018 11:03
UNIMED MACAPA COOPERATIVA DE TRABALHO MÉDICO (366811);Médico Hospitalar;Pequeno;78;83;3,61;3,6;10,76;10,7;6,93;3,38;19,76;19,64;22,66;16,02;22,21;21,63;201801;26/02/2018 11:03
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO (327689);Médico Hospitalar;Grande;27;27;3,11;3,6;3,61;2,97;2,74;2,83;3,32;2,43;2,11;1,46;2,18;2,18;201801;26/02/2018 11:03
UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO (354678);Médico Hospitalar;Pequeno;91;137;2,57;1,29;1,29;0;0;0;1,3;1,3;1,31;0;0;0;201801;26/02/2018 11:03
UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA. (321087);Médico Hospitalar;Pequeno;56;66;5,12;5,11;3,06;1,02;1,01;1,01;2,02;1,01;1,01;0;0;1;201801;26/02/2018 11:03
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO (318566);Médico Hospitalar;Pequeno;51;56;5,98;6;1,81;1,83;1,23;1,85;1,86;3,12;2,52;2,53;1,27;0,63;201801;26/02/2018 11:03
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (311618);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0,49;0,49;0,49;0;0;0;0;201801;26/02/2018 11:03
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA. (304051);Médico Hospitalar;Médio;22;28;5,44;5,24;2,89;3,65;3,45;5,25;7,07;7,66;6,2;3,91;2,89;3,44;201801;26/02/2018 11:03
UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO (342157);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA (368148);Médico Hospitalar;Pequeno;111;118;1,77;1,77;1,76;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO (335592);Médico Hospitalar;Grande;36;45;2,65;2,17;1,83;1,62;1,4;1,25;1,03;1,1;1,33;1,33;1,26;0,89;201801;26/02/2018 11:03
UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS (328294);Médico Hospitalar;Médio;172;203;0,55;0,27;0,57;0,3;0,98;0,73;0,98;0,49;0,83;0,5;0,83;0,34;201801;26/02/2018 11:03
UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA. (325571);Médico Hospitalar;Grande;73;73;0,48;0,53;0,48;0,77;0,72;0,91;0,72;0,86;0,77;0,91;0,86;0,9;201801;26/02/2018 11:03
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO. (371629);Médico Hospitalar;Médio;142;148;0,91;0,92;1,11;1,12;0,95;0,58;0,19;0,4;1;1,42;2,27;1,88;201801;26/02/2018 11:03
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA (315494);Médico Hospitalar;Pequeno;189;148;0;1,14;1,1;1,07;1,06;1,08;1,1;0;1,17;2,4;2,4;2,4;201801;26/02/2018 11:03
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO . (365777);Médico Hospitalar;Pequeno;174;182;0,66;0,65;1,27;1,28;1,28;1,29;1,95;3,26;1,96;1,32;0;0;201801;26/02/2018 11:03
UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO (360414);Médico Hospitalar;Pequeno;158;194;0,88;0;0;0,87;0,87;0,87;0;0;0,87;0,87;0,87;0;201801;26/02/2018 11:03
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (357260);Médico Hospitalar;Médio;202;165;0,35;0,7;0,86;0,69;0,52;0,35;0,34;0,52;1,03;1,03;0,86;0,86;201801;26/02/2018 11:03
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO (371777);Médico Hospitalar;Médio;141;103;0,94;1,57;2,51;2,52;2,21;2,22;1,58;1,59;0,97;1,3;1,32;1,65;201801;26/02/2018 11:03
UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO (353663);Médico Hospitalar;Médio;94;78;1,67;2,23;2,06;2,07;1,13;0,95;1,14;1,34;1,34;0,77;1,16;0,97;201801;26/02/2018 11:03
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO (358282);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;1,31;1,31;1,31;0;201801;26/02/2018 11:03
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO (312592);Médico Hospitalar;Pequeno;189;193;0;0,52;1,54;1,54;1,02;1,02;2,03;3,03;2,52;2;1,49;0,99;201801;26/02/2018 11:03
UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (323055);Médico Hospitalar;Pequeno;180;187;0,56;0,56;0,56;0,56;0,56;0,56;0,56;1,69;1,69;1,69;0,56;0,56;201801;26/02/2018 11:03
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO (366064);Médico Hospitalar;Pequeno;97;105;2,25;2,26;3,78;3,79;3,81;1,53;3,08;3,1;2,33;0;0;0,78;201801;26/02/2018 11:03
UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO (324213);Médico Hospitalar;Médio;1;1;32,37;43,25;44,82;42,67;38,89;31,7;29,84;22,6;18,12;14,82;14,86;17,85;201801;26/02/2018 11:03
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA. (335479);Médico Hospitalar;Médio;24;24;5,12;5,76;6,42;6,49;6,5;7,18;11,05;10,36;9,47;8,23;9,81;8,28;201801;26/02/2018 11:03
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO (344397);Médico Hospitalar;Médio;72;74;2,17;2,49;2,49;2,48;2,46;3,16;2,92;2,57;1,86;1,85;1,85;1,72;201801;26/02/2018 11:03
UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO (362140);Médico Hospitalar;Pequeno;189;145;0;1,18;1,78;2,38;1,19;1,18;0,59;1,18;0,59;1,19;1,18;2,36;201801;26/02/2018 11:03
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO (309907);Médico Hospitalar;Médio;147;120;0,84;1,37;1,64;1,9;1,09;0,81;1,9;3,26;2,72;1,63;0,82;1,64;201801;26/02/2018 11:03
UNIMED PALMEIRA DOS ÍNDIOS COOPERATIVA DE TRABALHO MÉDICO (369233);Médico Hospitalar;Pequeno;189;194;0;0;1,52;1,52;1,52;0;0;1,49;1,5;1,5;0;0;201801;26/02/2018 11:03
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA. (304344);Médico Hospitalar;Médio;182;147;0,48;0,95;0,95;0,48;0;0;0;0,48;1,43;1,44;0,96;0;201801;26/02/2018 11:03
UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO (324523);Médico Hospitalar;Pequeno;189;194;0;0;5,6;11,18;11,08;5,42;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED PATO BRANCO COOPERATIVA DE TRABALHO MEDICO (370681);Médico Hospitalar;Médio;219;218;0;0;0,5;0,5;0,51;0,25;0,26;0,26;0;0,52;0,52;0,79;201801;26/02/2018 11:03
UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO (336467);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA. (353060);Médico Hospitalar;Médio;203;123;0,33;1,34;1,69;3,73;2,74;2,43;0,35;0,71;0,72;0,72;0,73;0,73;201801;26/02/2018 11:03
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA. (355593);Médico Hospitalar;Pequeno;141;150;1,14;1,14;1,14;0;0;0;0;1,16;1,17;1,17;2,34;2,32;201801;26/02/2018 11:03
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (311375);Médico Hospitalar;Médio;219;200;0;0,3;0,31;0,61;0,61;1,54;1,23;0,92;0,31;0,31;0,31;0;201801;26/02/2018 11:03
UNIMED PETROPOLIS COOPERATIVA DE TRABALHO MÉDICO (323993);Médico Hospitalar;Médio;78;137;1,91;1,09;1,91;2,73;2,19;1,63;1,63;3,25;2,97;2,95;1,6;1,06;201801;26/02/2018 11:03
UNIMED PIAUI FEDERAÇÃO DAS COOPERATIVAS DE TRABALHO MEDICO DO ESTADO DO PIAUI (416576);Médico Hospitalar;Pequeno;146;156;1,08;1,08;0;0;0;0;0;0;0;1,14;1,14;1,15;201801;26/02/2018 11:03
UNIMED PLANALTO - COOPERATIVA DE TRABALHO MÉDICO (310131);Médico Hospitalar;Pequeno;52;70;5,59;4,63;2,4;3,75;3,94;2,76;4,33;4,64;4,98;3,44;1,71;1,67;201801;26/02/2018 11:03
UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA. (362832);Médico Hospitalar;Pequeno;189;194;0;0;1,36;2,72;2,71;2,7;1,35;1,35;0;0;0;0;201801;26/02/2018 11:03
UNIMED PLANALTO MÉDIO- COOPERATIVA DE SERVIÇOS MÉDICOS LTDA (319384);Médico Hospitalar;Médio;107;140;1,4;1,05;0,7;0;0,36;0,71;0,71;0,36;0,72;0,72;1,08;0,36;201801;26/02/2018 11:03
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS (316148);Médico Hospitalar;Médio;166;149;0,61;0,91;0,3;0,3;0,61;0,91;1,52;1,52;1,52;1,21;0,6;0,6;201801;26/02/2018 11:03
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO (349712);Médico Hospitalar;Médio;205;196;0,31;0,32;0,16;0,48;0,48;0,64;0,64;0,81;0,82;0,83;0,67;0,67;201801;26/02/2018 11:03
UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO (353876);Médico Hospitalar;Pequeno;159;164;0,86;0,92;0,9;1,75;0,82;1,64;0,85;0,86;0;0;0;0,86;201801;26/02/2018 11:03
UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA (343722);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;3,82;3,82;201801;26/02/2018 11:03
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA. (352501);Médico Hospitalar;Grande;59;59;1,17;1,37;1,32;1,14;1,21;1,4;1,51;1,26;1,14;0,95;1,05;0,83;201801;26/02/2018 11:03
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO (344885);Médico Hospitalar;Grande;34;33;2,82;3,36;3,87;4,47;4,43;4,16;3,8;3,53;3,35;3,07;2,72;2,49;201801;26/02/2018 11:03
UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (350648);Médico Hospitalar;Pequeno;189;115;0;1,96;1,96;1,96;0;1,97;1,98;1,99;0;0;0;0;201801;26/02/2018 11:03
UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (328375);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (353698);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;1,79;1,79;1,78;201801;26/02/2018 11:03
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO (311847);Médico Hospitalar;Médio;168;164;0,59;0,71;0,59;0,59;0,59;0,47;0,23;0,35;0,59;0,59;0,35;0,23;201801;26/02/2018 11:03
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO  (306100);Médico Hospitalar;Médio;199;218;0,37;0;0,38;0,39;0,39;0,4;0,4;0,4;0;0,4;0,41;0,41;201801;26/02/2018 11:03
UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO (316458);Médico Hospitalar;Pequeno;189;194;0;0;2,81;2,81;2,82;0;0;0;0;0;0;2,86;201801;26/02/2018 11:03
UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO (313475);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;5,51;201801;26/02/2018 11:03
UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO (306762);Médico Hospitalar;Médio;130;163;1,08;0,71;1,07;0,71;1,42;1,06;1,42;1,07;0,71;0,36;0;0;201801;26/02/2018 11:03
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO (371254);Médico Hospitalar;Grande;55;60;1,31;1,36;1,48;1,9;2,02;2,07;1,95;1,95;1,95;2,13;1,94;1,82;201801;26/02/2018 11:03
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA (305472);Médico Hospitalar;Médio;219;167;0;0,66;0,99;1,34;0,67;0,34;0,67;0,68;1,02;0,68;0,68;0,34;201801;26/02/2018 11:03
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO (330566);Médico Hospitalar;Pequeno;94;146;2,32;1,17;0;0,6;0,6;1,22;0,62;1,89;1,92;1,94;2,61;1,97;201801;26/02/2018 11:03
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA (337871);Médico Hospitalar;Médio;63;89;2,53;1,81;2,54;3,99;5,1;3,64;1,46;1,46;2,18;2,91;1,82;1,1;201801;26/02/2018 11:03
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO (320251);Médico Hospitalar;Médio;118;109;1,28;1,48;1,47;1,89;1,47;1,05;1,68;1,9;2,12;1,29;1,3;1,53;201801;26/02/2018 11:03
UNIMED RONDÔNIA - COOPERATIVA DE TRABALHO MÉDICO (337374);Médico Hospitalar;Médio;66;60;2,41;2,99;2,98;3,27;2,37;1,48;1,47;3,55;4,46;4,77;3,57;2,37;201801;26/02/2018 11:03
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA (359777);Médico Hospitalar;Médio;112;124;1,33;1,33;1,33;1,55;1,52;1,93;1,27;1,28;0,85;0,84;1,06;0,64;201801;26/02/2018 11:03
UNIMED SALTO/ITU -  COOPERATIVA MÉDICA (346276);Médico Hospitalar;Médio;95;128;1,65;1,29;1,3;0,93;0,19;0,19;0,37;0,37;0,92;1,1;1,82;1,27;201801;26/02/2018 11:03
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (319708);Médico Hospitalar;Médio;219;211;0;0,22;0,22;0,22;0;0,22;0,44;0,44;0,22;0,22;0,44;1,31;201801;26/02/2018 11:03
UNIMED SANTO ANTONIO DE JESUS COOP TRAB MED (383520);Médico Hospitalar;Pequeno;74;194;3,69;0;0;0;0;0;3,33;3,31;3,14;0;2,81;2,78;201801;26/02/2018 11:03
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO (354031);Médico Hospitalar;Médio;156;146;0,74;0,96;0,74;1,27;1,05;1,47;1,15;1,35;1,13;0,92;0,82;0,71;201801;26/02/2018 11:03
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO (323926);Médico Hospitalar;Médio;191;218;0,44;0;0,44;0,89;0,89;1,34;1,78;2,23;1,79;0,89;0,89;0,45;201801;26/02/2018 11:03
UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA. (327638);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO (335100);Médico Hospitalar;Grande;58;55;1,19;1,5;1,31;0,89;0,78;0,72;1,39;1,43;1,63;1,39;1,97;1,97;201801;26/02/2018 11:03
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO (331872);Médico Hospitalar;Grande;28;26;3,07;3,64;3,92;3,14;2,97;2,68;2,98;2,59;1,9;1,49;1,98;2,43;201801;26/02/2018 11:03
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO (370088);Médico Hospitalar;Médio;219;216;0;0,16;0,49;0,66;0,5;0,17;0,17;0,17;0,17;0;0;0;201801;26/02/2018 11:03
UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO (327352);Médico Hospitalar;Pequeno;118;87;1,62;3,23;1,61;1,61;0;0;1,64;3,28;3,28;1,64;0;0;201801;26/02/2018 11:03
UNIMED SAÚDE E ODONTO S.A (416801);Médico Hospitalar;Grande;74;76;0,21;0,28;0,35;0,39;0,54;1,2;1,39;1,58;0,95;0,85;0,41;0,52;201801;26/02/2018 11:03
UNIMED SEGUROS SAÚDE S/A (000701);Médico Hospitalar;Grande;35;35;2,78;2,95;3,11;3,15;3,09;3,02;3,35;3,24;3,42;3,06;2,93;2,62;201801;26/02/2018 11:03
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO (337668);Médico Hospitalar;Médio;19;11;5,89;7,75;8,57;9,02;8,25;8;7,37;6,14;6,12;5,99;6,33;5,33;201801;26/02/2018 11:03
UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO (349534);Médico Hospitalar;Médio;145;168;0,87;0,65;0,43;0,43;0,87;0,65;0,44;0,22;0,44;0,88;1,1;0,87;201801;26/02/2018 11:03
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO (348295);Médico Hospitalar;Médio;92;95;1,69;1,69;1,58;1,07;0,68;0,69;0,97;1,24;1,37;1,36;1,36;1,24;201801;26/02/2018 11:03
UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO (343153);Médico Hospitalar;Pequeno;76;80;3,69;3,68;3,67;3,67;3,66;7,3;3,64;3,63;0;0;0;0;201801;26/02/2018 11:03
UNIMED STA RITA, STA ROSA E SÃO SIMÃO COOP. TRAB. MÉDICO (402834);Médico Hospitalar;Pequeno;189;107;0;2,24;2,23;2,23;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO (324175);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;2,45;4,93;4,95;3,74;2,51;2,53;201801;26/02/2018 11:03
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO (320706);Médico Hospitalar;Médio;135;136;0,98;1,1;0,85;0,61;0,49;0,24;0,6;0,48;0,6;0,48;0,6;0,48;201801;26/02/2018 11:03
UNIMED SUL DO PARA COOPERATIVA DE TRABALHO MÉDICO (366145);Médico Hospitalar;Médio;109;100;1,39;1,59;2,11;1,87;2,14;2,09;1,82;2,47;3,08;2,54;2,03;1,17;201801;26/02/2018 11:03
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO (316881);Médico Hospitalar;Médio;150;174;0,81;0,54;0,54;0,27;0,81;0,55;0,83;0,28;0,28;0;0;0,29;201801;26/02/2018 11:03
UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO (353353);Médico Hospitalar;Médio;105;138;1,45;1,08;1,2;0,83;0,71;0,59;1,19;1,31;1,31;0,84;0,84;0,96;201801;26/02/2018 11:03
UNIMED TERESÓPOLIS COOPERATIVA DE TRABALHO MÉDICO (363774);Médico Hospitalar;Pequeno;62;75;4,35;4,33;3,75;3,19;2,64;4,21;4,2;4,68;4,11;3,04;4,01;3,49;201801;26/02/2018 11:03
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA. (359033);Médico Hospitalar;Pequeno;175;183;0,63;0,62;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO (364070);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0,52;0,53;0,53;0,53;0,53;1,6;1,07;201801;26/02/2018 11:03
UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO (337498);Médico Hospitalar;Pequeno;173;180;0,67;0,67;0,67;0;0;0,67;2,03;2,03;2,03;1,35;1,35;0,67;201801;26/02/2018 11:03
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA. (354066);Médico Hospitalar;Médio;34;31;4,06;4,95;5,4;5,46;5,64;5,07;4,21;3,34;3,67;2,73;2,66;2,08;201801;26/02/2018 11:03
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA (384577);Médico Hospitalar;Grande;22;18;3,61;4,26;4,15;3,75;3,74;3,94;3;2,52;2,96;2,56;2,64;2,55;201801;26/02/2018 11:03
UNIMED URUGUAIANA/RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (328596);Médico Hospitalar;Pequeno;189;194;0;0;0;1,39;2,78;2,8;1,41;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (335541);Médico Hospitalar;Pequeno;189;194;0;0;0,57;0,59;1,22;0,64;0,64;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO (359289);Médico Hospitalar;Médio;90;69;1,7;2,67;3,04;4,16;2,43;2,25;2,07;2,46;2,86;1,92;2,32;1,54;201801;26/02/2018 11:03
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (313211);Médico Hospitalar;Médio;204;194;0,33;0,33;0;0;0;0;0,63;0,95;1,25;0,62;0,31;0;201801;26/02/2018 11:03
UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA (337561);Médico Hospitalar;Pequeno;189;98;0;2,43;4,87;4,87;2,42;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO (302228);Médico Hospitalar;Pequeno;189;194;0;0;1,27;1,27;1,27;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO (370975);Médico Hospitalar;Pequeno;167;175;0,75;0,75;1,52;0,77;0,78;0;0;0;0,82;0,82;0,82;0;201801;26/02/2018 11:03
UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (334511);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI  (308811);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (323268);Médico Hospitalar;Médio;108;115;1,4;1,4;1,56;1,25;1,1;1,1;1,11;1,11;1,43;1,44;0,8;1,13;201801;26/02/2018 11:03
